<b>Standard familiar</b><br />
<div class="spoiler"><div align="left" class="spoiler-title"><b>Spoiler</b></div><div align="right" class="spoiler-select"  name="spoiler-select">
<span onClick="spoiler(this)" /><span class="spoiler-button">Show</span></span>
</div>
<div class="spoiler-body" name="spoiler-body"><br />
{table=head]<b>Familiar</b>	|	<b>Stat</b>	|	<b>Reference</b>	|	<b>Requirement</b>	|	<b>Granted bonus</b>	|	<b>Note</b><br />
Sailsnake	|<div style="text-align: center;">	MMIV p124	</div>|<div style="text-align: center;">	MMIV p125	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any	</div>||<br />
Gem Scarab, Emerald	|<div style="text-align: center;">	MMV p62	</div>|<div style="text-align: center;">	MMV p63	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any	</div>||<br />
Tirbana Eyewing	|<div style="text-align: center;">	MMV p172	</div>|<div style="text-align: center;">	MMV p172	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	LN or LE only	</div>||<br />
Beholderkin, eyeball	|<div style="text-align: center;">	MoF p23	</div>|<div style="text-align: center;">	FRCS p35	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any Non Good	</div>||<br />
Night Hunter Bat	|<div style="text-align: center;">	MoF p18	</div>|<div style="text-align: center;">	FRCS p35	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any Non Good	</div>||<br />
Deathfang	|<div style="text-align: center;">	RoF p175	</div>|<div style="text-align: center;">	PGTF p39	</div>|<div style="text-align: center;">	9th	</div>|<div style="text-align: center;">	Any Non Good	</div>||<br />
Flying Snake	|<div style="text-align: center;">	RoF p177	</div>|<div style="text-align: center;">	PGTF p39	</div>|<div style="text-align: center;">	3rd	</div>|<div style="text-align: center;">	Any	</div>||<br />
Lizard, spitting crawler	|<div style="text-align: center;">	FRCS p308	</div>|<div style="text-align: center;">	PGTF p39	</div>|<div style="text-align: center;">	3rd	</div>|<div style="text-align: center;">	Any	</div>||<br />
Lynx	|<div style="text-align: center;">	RoF p174	</div>|<div style="text-align: center;">	PGTF p39	</div>|<div style="text-align: center;">	3rd	</div>|<div style="text-align: center;">	Any	</div>||<br />
Osquip	|<div style="text-align: center;">	RoF p176	</div>|<div style="text-align: center;">	PGTF p39	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any Non Good	</div>||<br />
Tressym	|<div style="text-align: center;">	FRCS p309	</div>|<div style="text-align: center;">	PGTF p39	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any Non Evil	</div>||<br />
Jaculi	|<div style="text-align: center;">	SK p66	</div>|<div style="text-align: center;">	SK p146	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any Non Lawful and Non Good	</div>||<br />
Mlarraun	|<div style="text-align: center;">	SK p70	</div>|<div style="text-align: center;">	SK p146	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any	</div>||<br />
Muckdweller	|<div style="text-align: center;">	SK p71	</div>|<div style="text-align: center;">	SK p146	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any Non Chaotic and Non Good	</div>||<br />
Snake, Glacier	|<div style="text-align: center;">	SK p84	</div>|<div style="text-align: center;">	SK p146	</div>|<div style="text-align: center;">	3rd	</div>|<div style="text-align: center;">	Any	</div>||<br />
Snake, Tree python	|<div style="text-align: center;">	SK p86	</div>|<div style="text-align: center;">	SK p146	</div>|<div style="text-align: center;">	3rd	</div>|<div style="text-align: center;">	Any	</div>||<br />
Snake, whipsnake	|<div style="text-align: center;">	SK p87	</div>|<div style="text-align: center;">	SK p146	</div>|<div style="text-align: center;">	3rd	</div>|<div style="text-align: center;">	Any Non Lawful and Non Good	</div>||<br />
Beguiler	|<div style="text-align: center;">	ShS p60	</div>|<div style="text-align: center;">	ShS p61	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>||<br />
Starsnake	|<div style="text-align: center;">	ShS p69	</div>|<div style="text-align: center;">	ShS p70	</div>|<div style="text-align: center;">	12th 	</div>|<div style="text-align: center;">	Any	</div>||<br />
Watchspider	|<div style="text-align: center;">	CoS:W p140	</div>|<div style="text-align: center;">	CoS:W p140	</div>|<div style="text-align: center;">	3rd	</div>|<div style="text-align: center;">	Any	</div>||<br />
Spider swarm	|<div style="text-align: center;">	MMI p239	</div>|<div style="text-align: center;">	#329 p98	</div>|<div style="text-align: center;">	3rd	</div>|<div style="text-align: center;">	Any	</div>||<br />
Bat swarm	|<div style="text-align: center;">	MMI p237	</div>|<div style="text-align: center;">	#329 p98	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any	</div>||<br />
Rat swarm	|<div style="text-align: center;">	MMI p239	</div>|<div style="text-align: center;">	#329 p98	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any	</div>||<br />
Locust swarm	|<div style="text-align: center;">	MMI p239	</div>|<div style="text-align: center;">	#329 p98	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>||<br />
Bone rat swarm	|<div style="text-align: center;">	LM p88	</div>|<div style="text-align: center;">	#329 p98	</div>|<div style="text-align: center;">	9th	</div>|<div style="text-align: center;">	Any Non Good	</div>||<br />
Centipede swarm	|<div style="text-align: center;">	MMI p238	</div>|<div style="text-align: center;">	#329 p98	</div>|<div style="text-align: center;">	9th	</div>|<div style="text-align: center;">	Any	</div>||<br />
Corpse rat swarm	|<div style="text-align: center;">	LM p92	</div>|<div style="text-align: center;">	#329 p98	</div>|<div style="text-align: center;">	11th	</div>|<div style="text-align: center;">	Any Non Good	</div>||<br />
Emphemeral swarm	|<div style="text-align: center;">	MMIII p50	</div>|<div style="text-align: center;">	#329 p98	</div>|<div style="text-align: center;">	11th	</div>|<div style="text-align: center;">	Any Non Lawful and Non Good	</div>||<br />
Swamp strider swarm	|<div style="text-align: center;">	MMIII p171	</div>|<div style="text-align: center;">	#329 p98	</div>|<div style="text-align: center;">	11th	</div>|<div style="text-align: center;">	Any	</div>||<br />
Bloodmote swarm	|<div style="text-align: center;">	LM p88	</div>|<div style="text-align: center;">	#329 p98	</div>|<div style="text-align: center;">	13th 	</div>|<div style="text-align: center;">	Any Non Good	</div>||<br />
Dread bloom swarm	|<div style="text-align: center;">	MMIII p45	</div>|<div style="text-align: center;">	#329 p98	</div>|<div style="text-align: center;">	13th 	</div>|<div style="text-align: center;">	Any	</div>||<br />
Needletooth swarm	|<div style="text-align: center;">	MMIII p109	</div>|<div style="text-align: center;">	#329 p98	</div>|<div style="text-align: center;">	13th 	</div>|<div style="text-align: center;">	Any	</div>||<br />
Hellwasp swarm	|<div style="text-align: center;">	MMI p238	</div>|<div style="text-align: center;">	#329 p98	</div>|<div style="text-align: center;">	16th 	</div>|<div style="text-align: center;">	Any Non Chaotic and Non Good	</div>||<br />
Shimmerling swarm	|<div style="text-align: center;">	MMIII p152	</div>|<div style="text-align: center;">	#329 p98	</div>|<div style="text-align: center;">	16th 	</div>|<div style="text-align: center;">	Any Non Lawful	</div>||<br />
Brood keeper larva swarm	|<div style="text-align: center;">	MMIII p21	</div>|<div style="text-align: center;">	#329 p98	</div>|<div style="text-align: center;">	19th 	</div>|<div style="text-align: center;">	Any	</div>||<br />
Choleric Imp	|<div style="text-align: center;">	#338 p33	</div>|<div style="text-align: center;">	#338 p33	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Neutral Evil only	</div>||<br />
Melancholic Imp	|<div style="text-align: center;">	#338 p34	</div>|<div style="text-align: center;">	#338 p33	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Neutral Evil only	</div>||<br />
Phlegmatic Imp	|<div style="text-align: center;">	#338 p34	</div>|<div style="text-align: center;">	#338 p33	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Neutral Evil only	</div>||<br />
Sanguine Imp	|<div style="text-align: center;">	#338 p35	</div>|<div style="text-align: center;">	#338 p33	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Neutral Evil only	</div>||<br />
Copper Asp	|<div style="text-align: center;">	#341 p35	</div>|<div style="text-align: center;">	#341 p35	</div>|<div style="text-align: center;">	3rd	</div>|<div style="text-align: center;">	Any	</div>|<div style="text-align: center;">	Craft construct feat	</div>|<br />
Razor Hawk	|<div style="text-align: center;">	#341 p38	</div>|<div style="text-align: center;">	#341 p35	</div>|<div style="text-align: center;">	3rd	</div>|<div style="text-align: center;">	Any	</div>|<div style="text-align: center;">	Craft construct feat	</div>|<br />
Crystal Cat	|<div style="text-align: center;">	#341 p36	</div>|<div style="text-align: center;">	#341 p35	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any	</div>|<div style="text-align: center;">	Craft construct feat	</div>|<br />
Glass Dragonfly	|<div style="text-align: center;">	#341 p37	</div>|<div style="text-align: center;">	#341 p35	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any	</div>|<div style="text-align: center;">	Craft construct feat	</div>|<br />
Salvage Rat	|<div style="text-align: center;">	#341 p38	</div>|<div style="text-align: center;">	#341 p35	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any	</div>|<div style="text-align: center;">	Craft construct feat	</div>|<br />
Erudite Owl	|<div style="text-align: center;">	#341 p36	</div>|<div style="text-align: center;">	#341 p35	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>|<div style="text-align: center;">	Craft construct feat	</div>|<br />
Mercurial Spider	|<div style="text-align: center;">	#341 p37	</div>|<div style="text-align: center;">	#341 p35	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>|<div style="text-align: center;">	Craft construct feat	</div>|<br />
Great Horned Owl	|<div style="text-align: center;">	MMI p277	</div>|<div style="text-align: center;">	#341 p88	</div>|<div style="text-align: center;">	3rd	</div>|<div style="text-align: center;">	Any	</div>||<br />
King Cobra	|<div style="text-align: center;">	MMI p280	</div>|<div style="text-align: center;">	#341 p88	</div>|<div style="text-align: center;">	3rd	</div>|<div style="text-align: center;">	Any	</div>||<br />
Ice Paraelementale, Small	|<div style="text-align: center;">	MoP p180	</div>|<div style="text-align: center;">	#347 p57	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any	</div>||<br />
Magma Paraelementale, Small	|<div style="text-align: center;">	MoP p182	</div>|<div style="text-align: center;">	#347 p57	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any	</div>||<br />
Ooze Paraelementale, Small	|<div style="text-align: center;">	MoP p182	</div>|<div style="text-align: center;">	#347 p57	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any	</div>||<br />
Smoke Paraelementale, Small	|<div style="text-align: center;">	MoP p184	</div>|<div style="text-align: center;">	#347 p57	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any	</div>||<br />
Monodrone	|<div style="text-align: center;">	#354 p44	</div>|<div style="text-align: center;">	#354 p49	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any Lawful	</div>||<br />
Living spell	|<div style="text-align: center;">	ECS p293	</div>|<div style="text-align: center;">	#357 p76	</div>||<div style="text-align: center;">	Any	</div>|<div style="text-align: center;">	Spell sovereign Prc level 1	</div>|<br />
Shadovig	|<div style="text-align: center;">	#299 p56	</div>|<div style="text-align: center;">	#299 p55	</div>||<div style="text-align: center;">	Unknown	</div>||<br />
[/table]</div>
</div>

<b>Celestial familiar:</b> BOED p41<br />
<div class="spoiler"><div align="left" class="spoiler-title"><b>Spoiler</b></div><div align="right" class="spoiler-select"  name="spoiler-select">
<span onClick="spoiler(this)" /><span class="spoiler-button">Show</span></span>
</div>
<div class="spoiler-body" name="spoiler-body"><br />
{table=head]<b>Familiar</b>	|	<b>Stat</b>	|	<b>Caster level</b>	|	<b>Alignement</b><br />
Celestial standard familiar	|<div style="text-align: center;">	MMI p31	</div>|<div style="text-align: center;">	3rd	</div>|<div style="text-align: center;">	Any Good	</div>|<br />
Coure Eladrin	|<div style="text-align: center;">	BOED p168	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Chaotic good	</div>|<br />
Lantern Archon	|<div style="text-align: center;">	MMI p16	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Lawfull good	</div>|<br />
Musteval Guardinal	|<div style="text-align: center;">	BOED p174	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Neutral good	</div>|<br />
[/table]</div>
</div><br />
<br />
<b>Planar familiar:</b> PlH p41<br />
<div class="spoiler"><div align="left" class="spoiler-title"><b>Spoiler</b></div><div align="right" class="spoiler-select"  name="spoiler-select">
<span onClick="spoiler(this)" /><span class="spoiler-button">Show</span></span>
</div>
<div class="spoiler-body" name="spoiler-body"><br />
{table=head]<b>Familiar</b>	|	<b>Stat</b>	|	<b>Caster level</b>	|	<b>Alignement</b><br />
Anarchic standard familiar	|<div style="text-align: center;">	PlH p108	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any Chaotic	</div>|<br />
Axiomatic standard familiar	|<div style="text-align: center;">	PlH p111	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any Lawful	</div>|<br />
Celestial standard familiar	|<div style="text-align: center;">	MMI p31	</div>|<div style="text-align: center;">	3rd	</div>|<div style="text-align: center;">	Any Good	</div>|<br />
Air elemental, Small	|<div style="text-align: center;">	MMI p95	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any	</div>|<br />
Earth elemental, Small	|<div style="text-align: center;">	MMI p97	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any	</div>|<br />
Fire elemental, Small	|<div style="text-align: center;">	MMI p98	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any	</div>|<br />
Water elemental, Small	|<div style="text-align: center;">	MMI p100	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any	</div>|<br />
Fiendish standard familiar	|<div style="text-align: center;">	MMI p107	</div>|<div style="text-align: center;">	3rd	</div>|<div style="text-align: center;">	Any Evil	</div>|<br />
Imp	|<div style="text-align: center;">	MMI p56	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any Non Chaotic and Non Good	</div>|<br />
Lantern Archon	|<div style="text-align: center;">	MMI p16	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any Non Chaotic and Non Evil	</div>|<br />
Air Mephit	|<div style="text-align: center;">	MMI p181	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>|<br />
Dust Mephit	|<div style="text-align: center;">	MMI p181	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>|<br />
Earth Mephit	|<div style="text-align: center;">	MMI p182	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>|<br />
Fire Mephit	|<div style="text-align: center;">	MMI p182	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>|<br />
Ice Mephit	|<div style="text-align: center;">	MMI p182	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>|<br />
Magma Mephit	|<div style="text-align: center;">	MMI p182	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>|<br />
Ooze Mephit	|<div style="text-align: center;">	MMI p182	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>|<br />
Salt Mephit	|<div style="text-align: center;">	MMI p183	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>|<br />
Steam Mephit	|<div style="text-align: center;">	MMI p183	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>|<br />
Water Mephit	|<div style="text-align: center;">	MMI p184	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>|<br />
Glass Mephit	|<div style="text-align: center;">	Sa p175	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>|<br />
Sulphur Mephit	|<div style="text-align: center;">	Sa p176	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>|<br />
Mirror Mephit	|<div style="text-align: center;">	EPD p208	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>|<br />
Quasit	|<div style="text-align: center;">	MMI p46	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any Non Lawful and Non Good	</div>|[/table]<br />
</div>
</div><br />
<br />
<b>Dragon familiar:</b> Dra p141<br />
<div class="spoiler"><div align="left" class="spoiler-title"><b>Spoiler</b></div><div align="right" class="spoiler-select"  name="spoiler-select">
<span onClick="spoiler(this)" /><span class="spoiler-button">Show</span></span>
</div>
<div class="spoiler-body" name="spoiler-body"><br />
{table=head]<b>Familiar</b>	|	<b>Stat</b>	|	<b>Caster level</b>	|	<b>Alignement</b><br />
White	|<div style="text-align: center;">	MMI p77	</div>|<div style="text-align: center;">	7th 	</div>|<div style="text-align: center;">	N, CN, CE	</div>|<br />
Black	|<div style="text-align: center;">	MMI p70	</div>|<div style="text-align: center;">	8th 	</div>|<div style="text-align: center;">	N, NE, CE	</div>|<br />
Brass	|<div style="text-align: center;">	MMI p79	</div>|<div style="text-align: center;">	9th 	</div>|<div style="text-align: center;">	NG, CG, CN	</div>|<br />
Green	|<div style="text-align: center;">	MMI p74	</div>|<div style="text-align: center;">	9th 	</div>|<div style="text-align: center;">	N, LE, NE	</div>|<br />
Copper	|<div style="text-align: center;">	MMI p82	</div>|<div style="text-align: center;">	10th 	</div>|<div style="text-align: center;">	CG, N, CN	</div>|<br />
Blue	|<div style="text-align: center;">	MMI p72	</div>|<div style="text-align: center;">	10th 	</div>|<div style="text-align: center;">	LN, LE, NE	</div>|<br />
Bronze	|<div style="text-align: center;">	MMI p80	</div>|<div style="text-align: center;">	11th 	</div>|<div style="text-align: center;">	LG, LN, N	</div>|<br />
Red	|<div style="text-align: center;">	MMI p75	</div>|<div style="text-align: center;">	12th 	</div>|<div style="text-align: center;">	CN, CE, NE	</div>|<br />
Silver	|<div style="text-align: center;">	MMI p86	</div>|<div style="text-align: center;">	12th 	</div>|<div style="text-align: center;">	LG, LN, N	</div>|<br />
Gold	|<div style="text-align: center;">	MMI p84	</div>|<div style="text-align: center;">	14th 	</div>|<div style="text-align: center;">	LG, NG, LN	</div>|[/table]</div>
</div><br />
<br />
<b>Darkness familiar:</b> #322 p67<br />
<div class="spoiler"><div align="left" class="spoiler-title"><b>Spoiler</b></div><div align="right" class="spoiler-select"  name="spoiler-select">
<span onClick="spoiler(this)" /><span class="spoiler-button">Show</span></span>
</div>
<div class="spoiler-body" name="spoiler-body"><br />
{table=head]<b>Familiar</b>	|	<b>Stat</b>	|	<b>Caster level</b>	|	<b>Alignement</b><br />
Cloaker	|<div style="text-align: center;">	MMI p36	</div>|<div style="text-align: center;">	14th 	</div>|<div style="text-align: center;">	Any Non Lawful	</div>|<br />
Dark creeper	|<div style="text-align: center;">	FF p38	</div>|<div style="text-align: center;">	10th 	</div>|<div style="text-align: center;">	Any Non Lawful	</div>|<br />
Darkenbeast	|<div style="text-align: center;">	MoF p30	</div>|<div style="text-align: center;">	12th 	</div>|<div style="text-align: center;">	Any Non Good	</div>|<br />
Darkness pseudo-elemental, Small	|<div style="text-align: center;">	#322 p66	</div>|<div style="text-align: center;">	7th 	</div>|<div style="text-align: center;">	Any Non Good	</div>|<br />
Night Hunter Bat	|<div style="text-align: center;">	MoF p18	</div>|<div style="text-align: center;">	5th 	</div>|<div style="text-align: center;">	Any Non Good	</div>|<br />
Sinister Bat	|<div style="text-align: center;">	MoF p18	</div>|<div style="text-align: center;">	8th 	</div>|<div style="text-align: center;">	Any Non Chaotic	</div>|<br />
Shadow	|<div style="text-align: center;">	MMI p221	</div>|<div style="text-align: center;">	9th 	</div>|<div style="text-align: center;">	Any Non Lawful and Non Good	</div>|<br />
Shadow asp	|<div style="text-align: center;">	FF p152	</div>|<div style="text-align: center;">	6th 	</div>|<div style="text-align: center;">	Any	</div>|<br />
Shadow mastiff	|<div style="text-align: center;">	MMI p222	</div>|<div style="text-align: center;">	14th 	</div>|<div style="text-align: center;">	Any Non Good	</div>|<br />
Wraith	|<div style="text-align: center;">	MMI p257	</div>|<div style="text-align: center;">	14th 	</div>|<div style="text-align: center;">	Any Non Chaotic and Non Good	</div>|[/table]<br />
</div>
</div>

